Channel1,channel2,channel3,channel4,channel5,channel6,Label
91,76,115,55,111,103,right
92,77,112,55,113,103,right
93,78,112,55,113,103,right
94,76,109,55,116,101,right
96,77,107,54,116,100,right
97,79,104,55,118,102,right
97,78,103,55,120,101,right
98,77,98,55,120,100,right
100,78,99,56,121,99,right
100,78,97,55,121,98,right
102,79,97,54,121,98,start
104,80,103,56,121,97,start
106,80,98,55,122,96,start
107,81,96,55,123,95,start
108,83,95,53,123,96,start
109,83,96,54,122,95,start
111,82,93,52,123,93,start
112,84,95,53,124,91,start
114,82,95,52,123,90,start
115,81,99,53,126,95,start
116,82,99,52,125,90,start
118,83,95,53,123,88,start
120,81,91,53,124,86,start
122,82,92,54,128,85,start
124,81,91,54,125,85,start
125,77,97,55,123,87,start
126,75,102,53,123,86,start
127,75,100,55,122,83,start
128,76,98,55,123,82,start
129,76,93,55,127,80,start
130,77,92,55,123,78,start
131,82,93,55,121,79,start
131,82,91,54,120,79,start
133,83,88,56,120,77,start
134,84,85,56,120,77,start
134,85,85,57,119,74,start
134,87,82,57,120,74,start
134,89,81,57,120,73,start
134,95,81,57,118,73,start
134,100,81,56,117,71,start
133,102,80,56,116,70,start
134,105,78,56,115,70,start
133,105,80,57,115,70,start
132,111,78,56,117,71,start
131,115,75,56,114,68,start
130,120,76,60,112,66,start
128,123,78,60,112,65,start
128,127,81,60,112,64,start
127,129,81,59,112,64,start
125,132,79,57,109,65,start
125,134,77,57,109,64,start
124,137,76,58,109,61,start
123,140,77,60,106,61,start
122,142,80,60,106,60,start
121,145,77,60,105,61,start
119,146,82,62,105,63,start
119,146,81,61,103,63,start
117,148,83,59,103,61,start
117,144,84,59,102,61,start
116,149,83,58,101,62,start
114,148,80,58,101,61,start
113,151,81,58,99,61,start
111,151,83,59,98,60,start
111,150,89,58,97,60,start
109,147,86,58,98,61,start
107,147,86,59,96,62,start
106,146,83,60,96,60,start
104,144,83,61,96,59,start
102,144,85,63,94,59,start
100,143,85,61,93,64,start
99,140,87,62,92,64,stop
98,135,87,63,92,64,stop
97,135,83,65,91,63,stop
95,136,82,64,90,64,stop
93,133,80,65,91,66,stop
92,131,78,66,90,67,stop
90,129,85,65,89,68,stop
88,125,81,63,89,69,stop
87,128,83,62,90,69,stop
86,125,85,62,89,69,stop
84,126,87,62,89,71,stop
83,123,87,61,89,74,stop
82,122,85,61,89,72,stop
80,121,85,59,89,74,stop
78,116,84,58,89,75,stop
78,118,88,58,88,80,stop
76,118,92,56,87,77,stop
74,117,90,56,86,78,stop
72,116,90,55,87,78,stop
71,112,85,54,85,79,stop
69,110,86,57,84,83,stop
68,109,94,56,84,85,stop
67,108,93,56,83,84,stop
66,105,90,57,82,84,stop
64,105,92,57,81,85,stop
63,102,91,56,80,86,stop
63,99,89,56,80,92,stop
61,97,89,57,78,89,stop
60,97,93,58,78,90,stop
59,95,93,56,76,90,stop
57,93,101,56,75,92,stop
57,89,102,57,73,93,stop
55,88,100,59,73,94,stop
54,87,98,59,71,95,stop
53,84,95,59,70,96,stop
51,84,92,60,69,95,stop
51,81,96,62,67,96,stop
50,79,98,62,66,97,stop
48,78,96,63,66,97,stop
48,79,98,64,67,97,stop
48,77,93,64,64,98,stop
47,75,93,64,62,97,stop
46,72,97,67,60,98,stop
45,69,104,67,63,101,stop
45,69,106,68,61,100,stop
45,66,105,68,59,100,stop
45,68,101,72,58,102,stop
44,65,99,75,56,99,stop
44,67,98,73,54,100,stop
45,70,94,74,56,100,stop
46,69,92,76,56,101,stop
46,68,94,78,55,101,stop
47,67,96,82,54,100,stop
47,67,91,85,52,101,stop
48,70,93,85,53,100,stop
48,67,95,87,53,100,stop
50,69,95,90,54,100,stop
49,67,95,94,53,98,stop
52,68,95,95,53,98,stop
52,70,94,96,52,96,stop
53,70,94,98,51,96,stop
