channel1,channel2,channel3,channel4,channel5,channel6,label
58,88,56,53,64,91,stop
59,88,56,53,62,93,stop
60,85,57,53,64,94,stop
61,89,55,54,62,94,stop
62,91,56,53,63,93,stop
62,87,56,56,62,93,stop
65,85,55,56,61,94,stop
65,86,57,56,59,94,stop
64,87,57,56,60,91,stop
64,86,57,57,59,89,stop
62,84,56,58,60,92,stop
61,81,56,59,62,94,stop
61,85,57,57,60,90,stop
59,87,56,56,60,94,stop
58,95,55,58,59,93,stop
57,92,58,58,60,93,stop
55,89,58,61,60,92,stop
57,91,58,65,61,92,stop
59,92,57,63,63,90,stop
56,91,56,64,61,91,stop
55,91,55,63,60,92,stop
54,87,55,64,61,92,stop
54,86,55,64,62,91,stop
53,83,56,64,62,90,stop
52,87,57,64,61,89,stop
51,94,56,63,60,88,stop
49,97,56,61,60,88,stop
48,93,57,62,60,87,stop
49,91,55,62,59,86,stop
48,89,56,62,60,84,stop
48,88,54,62,60,84,stop
48,83,56,64,61,87,stop
47,80,55,62,61,86,stop
47,80,55,61,60,84,stop
47,81,54,62,60,82,stop
47,78,53,62,59,81,stop
49,78,54,62,57,83,stop
48,74,54,63,58,82,stop
47,75,53,63,59,83,stop
46,74,53,62,59,79,stop
46,75,53,61,60,80,stop
45,73,53,61,58,80,stop
46,74,54,64,58,80,stop
45,81,54,64,57,80,stop
45,79,56,63,56,79,stop
45,81,54,61,59,77,stop
45,79,54,62,59,78,stop
46,76,55,61,59,79,stop
47,77,56,61,58,79,stop
50,79,55,61,59,79,stop
51,79,56,61,60,80,stop
51,78,56,63,60,76,stop
54,78,56,62,60,77,stop
54,83,55,61,61,78,stop
57,81,55,60,62,76,stop
56,81,58,59,63,74,stop
55,79,55,59,63,76,stop
56,78,55,62,62,79,stop
55,79,56,60,61,80,stop
56,85,54,62,61,79,stop
55,81,54,60,60,79,stop
54,79,54,58,60,77,stop
54,78,55,56,60,76,stop
52,76,56,56,58,75,stop
52,77,57,55,60,75,stop
52,80,59,54,60,73,stop
50,80,57,55,60,74,stop
51,78,58,55,59,73,stop
49,77,56,54,60,75,stop
48,73,56,55,57,74,stop
49,76,56,55,57,74,stop
48,77,56,56,56,75,stop
50,75,56,55,56,75,stop
51,77,58,55,56,73,stop
51,75,58,54,56,73,stop
50,76,56,54,56,72,stop
51,75,57,53,57,74,stop
51,76,57,54,57,74,stop
52,74,57,54,55,74,stop
51,73,58,56,55,73,stop
51,71,57,54,55,72,stop
50,72,57,56,56,72,stop
49,72,56,56,55,74,stop
50,70,57,54,53,72,stop
51,74,57,54,54,73,stop
51,71,56,56,55,74,stop
50,73,55,57,56,72,stop
50,74,57,58,56,73,stop
50,75,58,58,56,72,stop
49,76,58,56,56,71,stop
51,78,57,63,57,68,stop
53,79,56,64,56,67,stop
54,78,57,64,57,71,stop
55,78,56,62,57,72,stop
55,78,55,60,58,71,stop
